cik_str,ticker,title,sic,sicDescription
0001045810,NVDA,NVIDIA CORP,3674,Semiconductors & Related Devices
0001730168,AVGO,Broadcom Inc.,3674,Semiconductors & Related Devices
0000002488,AMD,ADVANCED MICRO DEVICES INC,3674,Semiconductors & Related Devices
0001835632,MRVL,"Marvell Technology, Inc.",3674,Semiconductors & Related Devices
0001280452,MPWR,MONOLITHIC POWER SYSTEMS INC,3674,Semiconductors & Related Devices
0001413447,NXPI,NXP Semiconductors N.V.,3674,Semiconductors & Related Devices
0001097864,ON,ON SEMICONDUCTOR CORP,3674,Semiconductors & Related Devices
0001709048,GFS,GLOBALFOUNDRIES Inc.,3674,Semiconductors & Related Devices
0001807794,CRDO,Credo Technology Group Holding Ltd,3674,Semiconductors & Related Devices
0001493594,MTSI,"MACOM Technology Solutions Holdings, Inc.",3674,Semiconductors & Related Devices
0001047127,AMKR,"AMKOR TECHNOLOGY, INC.",3674,Semiconductors & Related Devices
0000855658,LSCC,LATTICE SEMICONDUCTOR CORP,3674,Semiconductors & Related Devices
0000917273,RMBS,RAMBUS INC,3674,Semiconductors & Related Devices
0001451809,SITM,SITIME Corp,3674,Semiconductors & Related Devices
0000004127,SWKS,"SKYWORKS SOLUTIONS, INC.",3674,Semiconductors & Related Devices
0000088941,SMTC,SEMTECH CORP,3674,Semiconductors & Related Devices
0001604778,QRVO,"Qorvo, Inc.",3674,Semiconductors & Related Devices
0000866291,ALGM,"ALLEGRO MICROSYSTEMS, INC.",3674,Semiconductors & Related Devices
0000772406,CRUS,"CIRRUS LOGIC, INC.",3674,Semiconductors & Related Devices
0001039399,FORM,FORMFACTOR INC,3674,Semiconductors & Related Devices
0001038074,SLAB,SILICON LABORATORIES INC.,3674,Semiconductors & Related Devices
0001039065,OSIS,OSI SYSTEMS INC,3674,Semiconductors & Related Devices
0001329394,SIMO,Silicon Motion Technology CORP,3674,Semiconductors & Related Devices
0000817720,SYNA,SYNAPTICS Inc,3674,Semiconductors & Related Devices
0000056978,KLIC,KULICKE & SOFFA INDUSTRIES INC,3674,Semiconductors & Related Devices
0000029002,DIOD,DIODES INC /DEL/,3674,Semiconductors & Related Devices
0001280263,AMBA,AMBARELLA INC,3674,Semiconductors & Related Devices
0000833640,POWI,POWER INTEGRATIONS INC,3674,Semiconductors & Related Devices
0000810136,PLAB,PHOTRONICS INC,3674,Semiconductors & Related Devices
0001275014,UCTT,"Ultra Clean Holdings, Inc.",3674,Semiconductors & Related Devices
0001819974,SKYT,"SkyWater Technology, Inc",3674,Semiconductors & Related Devices
0001288469,MXL,"MAXLINEAR, INC",3674,Semiconductors & Related Devices
0001342338,HIMX,"Himax Technologies, Inc.",3674,Semiconductors & Related Devices
0001051627,AXTI,AXT INC,3674,Semiconductors & Related Devices
0001652535,ICHR,"ICHOR HOLDINGS, LTD.",3674,Semiconductors & Related Devices
0001437424,POET,POET TECHNOLOGIES INC.,3674,Semiconductors & Related Devices
0001841925,INDI,"indie Semiconductor, Inc.",3674,Semiconductors & Related Devices
0000895419,WOLF,"WOLFSPEED, INC.",3674,Semiconductors & Related Devices
0001951222,LAES,SEALSQ Corp,3674,Semiconductors & Related Devices
0001387467,AOSL,ALPHA & OMEGA SEMICONDUCTOR Ltd,3674,Semiconductors & Related Devices
0001667011,AIP,"Arteris, Inc.",3674,Semiconductors & Related Devices
0000889971,LPTH,LIGHTPATH TECHNOLOGIES INC,3674,Semiconductors & Related Devices
0000771266,KOPN,KOPIN CORP,3674,Semiconductors & Related Devices
0001282631,NLST,NETLIST INC,3674,Semiconductors & Related Devices
0001828805,ALMU,"Aeluma, Inc.",3674,Semiconductors & Related Devices
0001126741,GSIT,GSI TECHNOLOGY INC,3674,Semiconductors & Related Devices
0001438423,MRAM,EVERSPIN TECHNOLOGIES INC.,3674,Semiconductors & Related Devices
0000882508,QUIK,QUICKLOGIC Corp,3674,Semiconductors & Related Devices
0001420520,ATOM,Atomera Inc,3674,Semiconductors & Related Devices
0001040161,PXLW,"PIXELWORKS, INC",3674,Semiconductors & Related Devices
